
2025/02/05 (13:12:51) | ===> btop++ v.1.4.0
2025/02/05 (13:12:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (13:14:23) | ===> btop++ v.1.4.0
2025/02/05 (13:14:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (13:28:40) | ===> btop++ v.1.4.0
2025/02/05 (13:28:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/02/22 (20:18:10) | ===> btop++ v.1.3.2
2026/02/22 (20:18:10) | INFO: Logger set to INFO

2026/02/28 (14:37:45) | ===> btop++ v.1.3.2
2026/02/28 (14:37:45) | WARNING: Failed to join _runner thread on exit!

2026/02/28 (14:39:48) | ===> btop++ v.1.3.2
2026/02/28 (14:39:48) | WARNING: Failed to join _runner thread on exit!

2026/02/28 (14:40:41) | ===> btop++ v.1.3.2
2026/02/28 (14:40:41) | WARNING: Failed to join _runner thread on exit!

2026/02/28 (14:48:50) | ===> btop++ v.1.3.2
2026/02/28 (14:48:50) | WARNING: Failed to join _runner thread on exit!

2026/02/28 (15:14:06) | ===> btop++ v.1.3.2
2026/02/28 (15:14:06) | WARNING: Failed to join _runner thread on exit!

2026/02/28 (20:18:12) | ===> btop++ v.1.3.2
2026/02/28 (20:18:12) | WARNING: Failed to join _runner thread on exit!

2026/03/01 (23:25:45) | ===> btop++ v.1.3.2
2026/03/01 (23:25:45) | WARNING: Failed to join _runner thread on exit!

2026/03/02 (13:01:56) | ===> btop++ v.1.3.2
2026/03/02 (13:01:56) | WARNING: Failed to join _runner thread on exit!

2026/03/02 (13:08:14) | ===> btop++ v.1.3.2
2026/03/02 (13:08:14) | WARNING: Failed to join _runner thread on exit!

2026/03/02 (13:35:19) | ===> btop++ v.1.3.2
2026/03/02 (13:35:19) | WARNING: Failed to join _runner thread on exit!

2026/03/02 (23:20:40) | ===> btop++ v.1.3.2
2026/03/02 (23:20:40) | WARNING: Failed to join _runner thread on exit!

2026/03/03 (13:00:13) | ===> btop++ v.1.3.2
2026/03/03 (13:00:13) | ERROR: Stall in Runner thread, restarting!
2026/03/03 (13:02:31) | WARNING: Failed to join _runner thread on exit!
